product_id,product_name,category,price,brand,stock_quantity,rating
product_0000,Sharable bifurcated algorithm,Electronics,744.12,Adidas,228,1.6
product_0001,User-centric even-keeled encryption,Clothing,594.58,Nike,30,1.4
product_0002,Face-to-face client-driven support,Electronics,565.62,Under Armour,225,2.8
product_0003,Customer-focused systematic support,Electronics,761.21,Penguin,714,2.7
product_0004,Quality-focused background parallelism,Home & Garden,223.15,Hachette,104,1.4
product_0005,Optimized 5thgeneration algorithm,Toys,849.01,H&M,826,1.2
product_0006,Cross-group didactic emulation,Clothing,973.37,Foodies,80,3.2
product_0007,Profit-focused real-time algorithm,Sports,707.52,Lego,677,1.9
product_0008,Realigned dedicated structure,Clothing,856.75,Gallimard,389,2.1
product_0009,Streamlined tangible moratorium,Home & Garden,376.47,Playmobil,686,2.1
product_0010,Operative directional knowledge user,Home & Garden,538.79,Adidas,167,2.8
product_0011,Reverse-engineered even-keeled workforce,Sports,687.76,Gallimard,234,4.3
product_0012,Adaptive well-modulated workforce,Beauty,275.05,Playmobil,935,4.8
product_0013,Diverse tangible interface,Sports,658.87,ToyBox,905,4.7
product_0014,Mandatory even-keeled collaboration,Home & Garden,272.22,Danone,762,3.2
product_0015,Extended well-modulated Graphical User Interface,Beauty,898.83,BookWorld,370,1.9
product_0016,Customer-focused background implementation,Food,99.99,Ikea,881,1.4
product_0017,Cross-platform heuristic hardware,Beauty,600.43,GardenPro,390,3.4
product_0018,Robust empowering workforce,Books,971.36,Nestlé,696,3.9
product_0019,Balanced upward-trending knowledgebase,Toys,120.43,BookWorld,161,2.8
product_0020,Public-key bottom-line implementation,Home & Garden,512.59,Gallimard,891,3.5
product_0021,Configurable neutral frame,Home & Garden,380.16,Adidas,552,4.8
product_0022,Self-enabling regional hierarchy,Toys,493.71,Samsung,951,2.5
product_0023,Re-engineered content-based strategy,Sports,67.34,Gallimard,87,3.9
product_0024,Cloned 6thgeneration protocol,Home & Garden,137.1,Louis Vuitton,969,3.2
product_0025,Focused zero administration frame,Beauty,964.71,Penguin,730,2.2
product_0026,Configurable discrete attitude,Food,900.61,ToyBox,123,2.0
product_0027,Multi-tiered even-keeled knowledgebase,Toys,30.81,Adidas,602,1.9
product_0028,Sharable high-level complexity,Electronics,236.64,Nike,880,2.3
product_0029,Multi-layered heuristic database,Books,672.28,Adidas,552,1.5
product_0030,Synchronized encompassing standardization,Sports,786.76,Foodies,194,1.4
product_0031,Synergized secondary archive,Toys,429.33,BeautyPlus,884,3.9
product_0032,Robust scalable concept,Electronics,408.59,H&M,819,4.4
product_0033,Public-key upward-trending encryption,Sports,198.3,Under Armour,143,2.7
product_0034,Diverse maximized implementation,Food,257.3,Gallimard,453,4.2
product_0035,Future-proofed scalable solution,Electronics,655.61,Nike,992,1.4
product_0036,Realigned directional software,Home & Garden,412.34,Under Armour,218,4.5
product_0037,Inverse zero administration time-frame,Home & Garden,385.17,Philips,271,4.7
product_0038,Centralized discrete alliance,Books,428.77,Foodies,158,1.8
product_0039,Intuitive impactful flexibility,Electronics,583.38,Nike,765,2.3
product_0040,Cloned didactic open system,Food,507.81,Sony,58,4.8
product_0041,Universal foreground data-warehouse,Home & Garden,77.83,Nike,691,4.4
product_0042,Streamlined modular infrastructure,Clothing,942.17,Sephora,592,3.4
product_0043,Stand-alone logistical circuit,Beauty,660.79,H&M,957,2.0
product_0044,Fundamental client-driven encryption,Sports,272.95,Playmobil,687,3.6
product_0045,User-friendly next generation monitoring,Toys,929.72,Nestlé,9,2.8
product_0046,Fundamental value-added paradigm,Clothing,542.25,H&M,135,4.7
product_0047,Optimized optimal initiative,Sports,375.82,Adidas,448,4.3
product_0048,Multi-lateral directional challenge,Electronics,671.17,Hachette,954,3.7
product_0049,Profound modular array,Books,124.26,Ikea,760,3.2
product_0050,Versatile actuating budgetary management,Books,608.77,Hachette,208,3.7
product_0051,Distributed responsive complexity,Food,258.6,Gallimard,94,3.5
product_0052,Synergized interactive policy,Electronics,13.5,Penguin,652,4.9
product_0053,Cloned human-resource implementation,Food,556.15,GardenPro,574,1.0
product_0054,Right-sized maximized moderator,Home & Garden,550.12,H&M,596,3.2
product_0055,Function-based neutral access,Home & Garden,51.4,Yves Rocher,920,4.7
product_0056,Synergized uniform budgetary management,Toys,217.97,Sony,682,1.4
product_0057,Synergized national system engine,Home & Garden,926.5,Sephora,885,1.7
product_0058,Future-proofed zero administration project,Beauty,34.53,HomeEase,801,4.7
product_0059,Mandatory bifurcated frame,Books,167.6,Nike,391,4.5
product_0060,Optional cohesive knowledgebase,Sports,207.57,Foodies,358,2.2
product_0061,Adaptive uniform success,Sports,33.42,Adidas,408,2.3
product_0062,Fundamental motivating task-force,Books,357.62,Louis Vuitton,695,4.9
product_0063,Enhanced motivating benchmark,Electronics,124.18,Mattel,182,3.3
product_0064,Self-enabling exuding productivity,Electronics,117.31,BookWorld,353,3.9
product_0065,Profit-focused real-time customer loyalty,Beauty,610.14,Lego,394,4.6
product_0066,Distributed holistic task-force,Books,53.93,Under Armour,1,3.1
product_0067,Diverse needs-based time-frame,Toys,436.97,Decathlon,638,2.3
product_0068,Progressive 24hour policy,Books,512.04,Louis Vuitton,334,2.6
product_0069,Inverse mobile adapter,Home & Garden,199.91,BookWorld,693,4.0
product_0070,Customizable high-level workforce,Books,412.0,Ikea,311,2.1
product_0071,Integrated disintermediate approach,Toys,470.33,BeautyPlus,691,1.9
product_0072,Front-line non-volatile artificial intelligence,Home & Garden,662.25,Carrefour,527,3.7
product_0073,Configurable upward-trending matrix,Clothing,820.23,Playmobil,688,2.2
product_0074,Cloned well-modulated monitoring,Home & Garden,34.17,Adidas,486,3.4
product_0075,Visionary clear-thinking capacity,Food,420.29,Adidas,735,3.8
product_0076,Switchable methodical neural-net,Beauty,251.53,Nestlé,914,4.0
product_0077,Down-sized empowering moderator,Beauty,226.64,Louis Vuitton,51,3.2
product_0078,Robust interactive data-warehouse,Food,142.0,Louis Vuitton,683,3.1
product_0079,Quality-focused web-enabled superstructure,Food,616.52,ToyBox,850,4.6
product_0080,Team-oriented dedicated structure,Home & Garden,746.21,Foodies,460,2.0
product_0081,Integrated impactful secured line,Books,768.15,Under Armour,641,2.0
product_0082,Streamlined holistic intranet,Clothing,716.4,Danone,278,2.3
product_0083,Programmable local capability,Home & Garden,159.31,Louis Vuitton,710,1.6
product_0084,Fully-configurable directional architecture,Clothing,420.71,Decathlon,555,2.9
product_0085,Mandatory 3rdgeneration parallelism,Sports,834.55,Philips,926,4.1
product_0086,Reactive discrete parallelism,Beauty,482.2,Apple,305,4.0
product_0087,Face-to-face 24hour archive,Sports,493.34,Yves Rocher,446,2.9
product_0088,Triple-buffered responsive approach,Toys,672.17,BeautyPlus,741,1.7
product_0089,Focused asymmetric alliance,Home & Garden,980.9,Nestlé,928,2.6
product_0090,Managed asynchronous migration,Clothing,646.31,Sony,887,2.8
product_0091,Front-line even-keeled secured line,Books,385.3,Sony,465,2.3
product_0092,Pre-emptive didactic moratorium,Books,754.48,BeautyPlus,258,4.3
product_0093,De-engineered uniform orchestration,Electronics,751.52,Nestlé,974,2.4
product_0094,Re-engineered methodical encryption,Electronics,756.68,Adidas,204,4.4
product_0095,Phased incremental core,Sports,134.95,Ikea,577,4.8
product_0096,Cross-platform bandwidth-monitored protocol,Books,769.22,Danone,620,3.4
product_0097,Optional heuristic interface,Home & Garden,965.06,Nike,592,1.1
product_0098,Open-source maximized superstructure,Beauty,402.68,Penguin,77,3.4
product_0099,Business-focused systematic projection,Clothing,700.21,Decathlon,870,3.7
product_0100,Stand-alone bandwidth-monitored approach,Electronics,353.72,Louis Vuitton,677,2.5
product_0101,Open-architected upward-trending Graphical User Interface,Electronics,851.07,ToyBox,108,2.7
product_0102,Customer-focused dynamic core,Food,710.23,ToyBox,180,3.9
product_0103,Ergonomic national knowledge user,Food,470.22,Hachette,330,4.4
product_0104,Devolved interactive contingency,Books,882.8,Adidas,768,2.9
product_0105,Grass-roots maximized encryption,Toys,38.4,Yves Rocher,186,3.0
product_0106,Compatible leadingedge workforce,Books,346.93,Mattel,569,1.0
product_0107,Reactive bandwidth-monitored application,Clothing,248.93,Under Armour,500,3.2
product_0108,Streamlined needs-based access,Food,649.43,Under Armour,458,4.2
product_0109,Cross-group web-enabled encoding,Books,229.37,Adidas,313,3.7
product_0110,Down-sized incremental matrix,Food,557.93,Mattel,435,5.0
product_0111,Polarized didactic initiative,Toys,705.82,Mattel,313,2.0
product_0112,Centralized composite implementation,Sports,322.38,Adidas,196,1.9
product_0113,Adaptive human-resource firmware,Books,727.33,Carrefour,102,4.3
product_0114,Persevering executive interface,Sports,367.26,Hachette,14,3.8
product_0115,Total upward-trending toolset,Books,55.05,Ikea,566,2.2
product_0116,Realigned stable structure,Food,111.55,Ikea,587,2.1
product_0117,Pre-emptive coherent core,Food,347.29,Nestlé,258,4.8
product_0118,Implemented didactic approach,Clothing,823.88,Foodies,503,1.3
product_0119,Reduced user-facing moratorium,Home & Garden,157.7,Apple,87,5.0
product_0120,Centralized value-added functionalities,Beauty,610.24,Adidas,794,3.1
product_0121,Centralized actuating paradigm,Food,304.37,Foodies,312,3.3
product_0122,Polarized motivating moderator,Clothing,948.1,Sony,640,1.8
product_0123,Diverse analyzing migration,Home & Garden,247.46,Nike,160,1.0
product_0124,Configurable contextually-based architecture,Food,298.34,Danone,295,3.8
product_0125,Right-sized asymmetric service-desk,Clothing,690.5,Carrefour,806,4.2
product_0126,Front-line impactful capability,Beauty,123.62,Adidas,663,1.6
product_0127,Re-contextualized dynamic paradigm,Home & Garden,80.69,Penguin,811,2.2
product_0128,Right-sized 6thgeneration process improvement,Food,133.1,Hachette,716,2.6
product_0129,Configurable intangible protocol,Food,443.37,Gallimard,910,2.7
product_0130,Reduced non-volatile model,Books,35.6,Playmobil,984,3.7
product_0131,Intuitive empowering database,Books,580.47,Sony,481,3.1
product_0132,Synchronized transitional functionalities,Books,189.66,Foodies,650,4.3
product_0133,Front-line empowering infrastructure,Food,354.47,H&M,328,3.7
product_0134,De-engineered static project,Toys,417.52,GardenPro,295,3.7
product_0135,Innovative logistical functionalities,Electronics,460.27,Yves Rocher,258,2.3
product_0136,Versatile asynchronous access,Electronics,661.07,BeautyPlus,423,1.2
product_0137,Persevering regional open system,Food,629.14,Lego,208,2.1
product_0138,Cross-platform asynchronous monitoring,Books,443.72,GardenPro,124,1.1
product_0139,Extended motivating firmware,Home & Garden,317.63,Nike,565,2.6
product_0140,De-engineered grid-enabled architecture,Clothing,466.82,Nike,663,4.3
product_0141,Fully-configurable holistic forecast,Books,513.77,Carrefour,425,4.3
product_0142,Diverse leadingedge moratorium,Sports,462.21,Danone,392,1.8
product_0143,Triple-buffered exuding pricing structure,Clothing,283.47,GardenPro,348,4.7
product_0144,Streamlined multi-tasking access,Electronics,290.0,Hachette,857,3.3
product_0145,Synchronized neutral framework,Home & Garden,452.07,Foodies,353,2.3
product_0146,Switchable bi-directional challenge,Food,933.51,Sephora,714,2.0
product_0147,Fundamental bifurcated benchmark,Sports,857.44,BeautyPlus,44,2.3
product_0148,User-friendly neutral collaboration,Beauty,392.21,Danone,507,4.9
product_0149,Future-proofed executive portal,Toys,870.99,GardenPro,102,3.1
product_0150,Expanded transitional Graphical User Interface,Electronics,725.21,Foodies,891,3.6
product_0151,Expanded systemic productivity,Clothing,474.79,HomeEase,346,3.5
product_0152,Fundamental motivating matrix,Clothing,853.24,BeautyPlus,977,2.3
product_0153,Function-based actuating array,Electronics,621.27,Danone,646,3.7
product_0154,Sharable interactive focus group,Sports,749.29,BookWorld,100,4.0
product_0155,Balanced 24hour groupware,Food,174.69,H&M,925,1.1
product_0156,Visionary clear-thinking productivity,Electronics,300.42,Mattel,441,1.6
product_0157,Fundamental cohesive support,Home & Garden,178.27,L'Oréal,624,4.5
product_0158,Organic neutral strategy,Food,913.69,Adidas,237,2.8
product_0159,Optimized next generation access,Food,262.76,Gallimard,920,4.2
product_0160,Customizable asynchronous solution,Home & Garden,83.11,Hachette,601,2.2
product_0161,Distributed needs-based alliance,Books,462.26,Yves Rocher,203,5.0
product_0162,Multi-layered optimal neural-net,Clothing,244.82,Carrefour,588,2.2
product_0163,Digitized intermediate capacity,Electronics,978.16,BookWorld,281,1.0
product_0164,Balanced fault-tolerant hierarchy,Food,834.5,Apple,794,4.2
product_0165,Balanced heuristic database,Sports,640.24,Mattel,694,4.0
